package	function	summary	language	source_url	doc_path	fetched_at
omicverse	omicverse.alignment.dada2.learn_errors	Learn a DADA2 error model from one or several filtered FASTQs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.learn_errors.html	references/omicverse/functions/omicverse.alignment.dada2.learn_errors.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.mafft	Run MAFFT multiple sequence alignment.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.mafft.html	references/omicverse/functions/omicverse.alignment.mafft.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2.make_seqtab	order_by ( str (default: 'abundance' ))	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.make_seqtab.html	references/omicverse/functions/omicverse.alignment.dada2.make_seqtab.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2.merge_pairs	min_overlap ( int (default: 12 ))	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.merge_pairs.html	references/omicverse/functions/omicverse.alignment.dada2.merge_pairs.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.parallel_fastq_dump	Download SRA data in parallel using parallel-fastq-dump.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.parallel_fastq_dump.html	references/omicverse/functions/omicverse.alignment.parallel_fastq_dump.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.prefetch	Prefetch SRA accessions with validation.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.prefetch.html	references/omicverse/functions/omicverse.alignment.prefetch.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.ref	Build kallisto index and transcript-to-gene mapping files via kb ref .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.ref.html	references/omicverse/functions/omicverse.alignment.ref.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.dada2.remove_chimeras	method ( str (default: 'consensus' ))	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.dada2.remove_chimeras.html	references/omicverse/functions/omicverse.alignment.dada2.remove_chimeras.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.sintax	Taxonomy assignment via SINTAX.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.sintax.html	references/omicverse/functions/omicverse.alignment.vsearch.sintax.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.STAR	Run STAR alignment.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.STAR.html	references/omicverse/functions/omicverse.alignment.STAR.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.uchime3_denovo	De novo chimera detection / removal on UNOISE3 ASVs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.uchime3_denovo.html	references/omicverse/functions/omicverse.alignment.vsearch.uchime3_denovo.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.unoise3	Run UNOISE3 denoising to build ASVs (amplicon sequence variants).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.unoise3.html	references/omicverse/functions/omicverse.alignment.vsearch.unoise3.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.alignment.vsearch.usearch_global	Build the ASV count matrix.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.alignment.vsearch.usearch_global.html	references/omicverse/functions/omicverse.alignment.vsearch.usearch_global.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.anndata_to_CPU	Migrate AnnData objects from GPU back to CPU memory after analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.anndata_to_CPU.html	references/omicverse/functions/omicverse.pp.anndata_to_CPU.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.anndata_to_GPU	Migrate AnnData objects to GPU memory for accelerated processing.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.anndata_to_GPU.html	references/omicverse/functions/omicverse.pp.anndata_to_GPU.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.binary_search	Infer a size factor from one normalized expression vector.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.binary_search.html	references/omicverse/functions/omicverse.pp.binary_search.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.champ	Pick the modularity-stablest Leiden partition via CHAMP (Weir et al. 2017).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.champ.html	references/omicverse/functions/omicverse.pp.champ.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.filter_cells	Filter cell outliers based on counts and numbers of genes expressed.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.filter_cells.html	references/omicverse/functions/omicverse.pp.filter_cells.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.filter_genes	Filter genes based on number of cells or counts.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.filter_genes.html	references/omicverse/functions/omicverse.pp.filter_genes.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.highly_variable_features	Select highly variable features (HVF/HVG) for downstream modeling.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.highly_variable_features.html	references/omicverse/functions/omicverse.pp.highly_variable_features.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.highly_variable_genes	Annotate highly variable genes (Satija 2015 / Zheng 2017 / Stuart 2019).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.highly_variable_genes.html	references/omicverse/functions/omicverse.pp.highly_variable_genes.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.identify_robust_genes	Identify robust genes for downstream HVG selection.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.identify_robust_genes.html	references/omicverse/functions/omicverse.pp.identify_robust_genes.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.leiden	leiden clustering	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.leiden.html	references/omicverse/functions/omicverse.pp.leiden.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.log1p	Log-transform expression values with log(1 + x) .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.log1p.html	references/omicverse/functions/omicverse.pp.log1p.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.louvain	Run Louvain clustering on the precomputed kNN graph.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.louvain.html	references/omicverse/functions/omicverse.pp.louvain.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.mde	Run MDE (Minimum Distortion Embedding) from a latent representation.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.mde.html	references/omicverse/functions/omicverse.pp.mde.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.neighbors	Compute a neighborhood graph of observations [McInnes18] .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.neighbors.html	references/omicverse/functions/omicverse.pp.neighbors.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.normalize_pearson_residuals	Normalize a count matrix using analytic Pearson residuals (Lause 2021).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.normalize_pearson_residuals.html	references/omicverse/functions/omicverse.pp.normalize_pearson_residuals.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.pca	Performs Principal Component Analysis (PCA) on the data stored in a scanpy AnnData object.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.pca.html	references/omicverse/functions/omicverse.pp.pca.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.preprocess	Preprocesses the AnnData object adata using either a scanpy or a pearson residuals workflow for size normalization and highly variable genes (HVGs) selection, and calculates signature scores if necessary.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.preprocess.html	references/omicverse/functions/omicverse.pp.preprocess.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.qc	Perform quality control on a dictionary of AnnData objects.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.qc.html	references/omicverse/functions/omicverse.pp.qc.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.recover_counts	Given log-normalized gene expression data, recover the raw read/UMI counts by inferring the unknown size factors.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.recover_counts.html	references/omicverse/functions/omicverse.pp.recover_counts.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.regress	Regress out technical covariates from each gene.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.regress.html	references/omicverse/functions/omicverse.pp.regress.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.regress_and_scale	Scale the regressed layer and store it as a new analysis layer.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.regress_and_scale.html	references/omicverse/functions/omicverse.pp.regress_and_scale.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.remove_cc_genes	Remove cell-cycle-correlated genes from highly_variable_features .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.remove_cc_genes.html	references/omicverse/functions/omicverse.pp.remove_cc_genes.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.scale	Scale the input AnnData object.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.scale.html	references/omicverse/functions/omicverse.pp.scale.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.score_genes_cell_cycle	Score cell cycle phases using predefined or custom gene sets.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.score_genes_cell_cycle.html	references/omicverse/functions/omicverse.pp.score_genes_cell_cycle.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.scrublet	Predict cell doublets using Scrublet with optional GPU acceleration.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.scrublet.html	references/omicverse/functions/omicverse.pp.scrublet.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.scrublet_simulate_doublets	Simulate synthetic doublets from random cell pairs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.scrublet_simulate_doublets.html	references/omicverse/functions/omicverse.pp.scrublet_simulate_doublets.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.select_hvf_pegasus	Select highly variable features with the Pegasus strategy.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.select_hvf_pegasus.html	references/omicverse/functions/omicverse.pp.select_hvf_pegasus.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.sude	SUDE (Scalable Unsupervised Dimensionality reduction via Embedding) dimensionality reduction.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.sude.html	references/omicverse/functions/omicverse.pp.sude.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.tsne	Compute t-SNE coordinates for cells, dispatching by ov.settings.mode .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.tsne.html	references/omicverse/functions/omicverse.pp.tsne.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.pp.umap	Compute UMAP embedding, dispatching to the best backend for ov.settings.mode .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.pp.umap.html	references/omicverse/functions/omicverse.pp.umap.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.Annotation	Unified single-cell annotation manager for cell-type labeling.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.Annotation.html	references/omicverse/functions/omicverse.single.Annotation.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.AnnotationRef	Reference-based label transfer helper for single-cell annotation.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.AnnotationRef.html	references/omicverse/functions/omicverse.single.AnnotationRef.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.auto_resolution	Pick the most reproducible Leiden resolution via null-adjusted bootstrap-ARI (Lange, Roth, Braun & Buhmann, Neural Computation 2004).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.auto_resolution.html	references/omicverse/functions/omicverse.single.auto_resolution.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.autoResolution	Pick the most reproducible Leiden resolution via null-adjusted bootstrap-ARI (Lange, Roth, Braun & Buhmann, Neural Computation 2004).	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.autoResolution.html	references/omicverse/functions/omicverse.single.autoResolution.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.batch_correction	Run batch-effect correction for single-cell data integration.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.batch_correction.html	references/omicverse/functions/omicverse.single.batch_correction.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.CellOntologyMapper	Map free-text cell-type annotations to the Cell Ontology (CL) via NLP.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.CellOntologyMapper.html	references/omicverse/functions/omicverse.single.CellOntologyMapper.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.CellVote	Ensemble cell-type annotation manager with multiple backends.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.CellVote.html	references/omicverse/functions/omicverse.single.CellVote.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.cNMF	Consensus NMF workflow wrapper for robust gene-program discovery.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.cNMF.html	references/omicverse/functions/omicverse.single.cNMF.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.convert_human_to_mouse_network	Convert a human-symbol interaction network to mouse symbols.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.convert_human_to_mouse_network.html	references/omicverse/functions/omicverse.single.convert_human_to_mouse_network.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.cosg	Identify cluster-specific marker genes with COSG.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.cosg.html	references/omicverse/functions/omicverse.single.cosg.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.cytotrace2	Predict developmental potency with CytoTRACE2.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.cytotrace2.html	references/omicverse/functions/omicverse.single.cytotrace2.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.DCT	Differential cell-type abundance testing wrapper.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.DCT.html	references/omicverse/functions/omicverse.single.DCT.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.DEG	Differential gene-expression testing wrapper for single-cell datasets.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.DEG.html	references/omicverse/functions/omicverse.single.DEG.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.download_cellphonedb_database	Download CellPhoneDB database with fallback URLs.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.download_cellphonedb_database.html	references/omicverse/functions/omicverse.single.download_cellphonedb_database.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.download_cl	📥 Download Cell Ontology file from multiple sources with automatic fallback	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.download_cl.html	references/omicverse/functions/omicverse.single.download_cl.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.Drug_Response	Predict drug sensitivity from single-cell transcriptomes using CaDRReS models.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.Drug_Response.html	references/omicverse/functions/omicverse.single.Drug_Response.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.dynamic_features	Fit GAM-based pseudotime trends for one or more datasets or groups.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.dynamic_features.html	references/omicverse/functions/omicverse.single.dynamic_features.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.factor_correlation	Score MOFA-factor enrichment across annotated groups.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.factor_correlation.html	references/omicverse/functions/omicverse.single.factor_correlation.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.factor_exact	Add MOFA latent factors from model file into adata.obs .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.factor_exact.html	references/omicverse/functions/omicverse.single.factor_exact.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.Fate	Adaptive ridge-regression framework for pseudotime-associated gene discovery.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.Fate.html	references/omicverse/functions/omicverse.single.Fate.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.find_markers	Find marker genes for each cluster / group in single-cell data.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.find_markers.html	references/omicverse/functions/omicverse.single.find_markers.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.format_liana_results	Format LIANA results into the communication AnnData expected by ov.pl.ccc_* .	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.format_liana_results.html	references/omicverse/functions/omicverse.single.format_liana_results.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.gene_trends	Fit and visualize smooth feature trends along pseudotime.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.gene_trends.html	references/omicverse/functions/omicverse.single.gene_trends.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.generate_scRNA_report	Generate a MultiQC-style HTML report for single-cell RNA-seq analysis.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.generate_scRNA_report.html	references/omicverse/functions/omicverse.single.generate_scRNA_report.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.geneset_aucell	Calculate the AUC-ell score for a given gene set.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.geneset_aucell.html	references/omicverse/functions/omicverse.single.geneset_aucell.md	2026-08-03T14:16:23+00:00
omicverse	omicverse.single.get_celltype_marker	Get marker genes for each cluster/cell type.	Python	https://omicverse.readthedocs.io/en/latest/api/reference/omicverse.single.get_celltype_marker.html	references/omicverse/functions/omicverse.single.get_celltype_marker.md	2026-08-03T14:16:23+00:00
