agent_id	name	tier	category	agent_role	route_role	skills	toolsets	use_when	not_for	handoff	primary_authority	requires_official_confirmation	route_card	source_agent_json	risk_note
chromatin_3d_analyst	Chromatin 3D Genome Analyst	pro	general_omics_analysis	general_omics_analysis	route_card	hic-analysis, single-cell-hic-analysis, gene-id-conversion, data-io-loading, data-cleaning, figure-programmatic, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到 Hi-C / 三维基因组数据 —— bulk 接触矩阵(.cool/.mcool)、pairs 文件,或单细胞 / droplet Hi-C(.scool、per-cell .cool)—— 要分析基因组三维结构:A/B 区室、TAD 结构域、染色质 loop、接触频率衰减,或单细胞层面的 3D 基因组细胞状态 / 细胞周期。不是 bulk ATAC/ChIP/CUT&RUN(→ bulk_epigenomics_analyst),不是 scATAC(→ single_cell_epigenomics_analyst)。	Not for ordinary bulk epigenomics or single-cell epigenomics when no 3D chromatin data are present.	Hand off non-3D epigenomics to bulk_epigenomics_analyst or single_cell_epigenomics_analyst.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/chromatin_3d_analyst.md	raw_agents/public_cloud_agents/chromatin_3d_analyst.json	Resolution, genome build, binning, normalization, and loop or domain caller choices determine interpretation.
he_to_st_predictor	H&E → ST Predictor	pro	spatial_analysis	spatial_analysis	candidate_reminder	spatial-he-to-st-prediction, spatial-data-io-loading, spatial-publication-plots, spatial-variable-genes, gene-id-conversion, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	Use only as a candidate-search reminder for H&E-to-spatial-transcriptomics questions. Candidate search terms or possible method families include STPath, HEST-FM, STFlow, and iStar, but model choice requires OmicVerse/SCOP and official documentation confirmation before any route is selected.	Not for treating predicted spatial expression as measured ST or replacing real spatial transcriptomics QC.	Hand off predicted matrices to spatial_omics_orchestrator only with prediction provenance clearly marked.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/he_to_st_predictor.md	raw_agents/public_cloud_agents/he_to_st_predictor.json	H&E-derived expression is model output, not measured transcriptomics; report model, training domain, and uncertainty.
immune_repertoire_analyst_pro	Immune Repertoire Analyst Pro	pro	general_omics_analysis	general_omics_analysis	route_card	airr-singlecell, airr-bulk, airr-bcr-immcantation, airr-tcr-specificity, airr-tcr-gex, data-io-loading, figure-programmatic, single-cell-report-authoring, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到 TCR / BCR 测序 (10x V(D)J、AIRR rearrangement、bulk repertoire 表)，要跑克隆型 / 多样性 / 体细胞超突变 / 谱系树 / TCR 特异性分组 / 与转录组联合分析并出报告	Not for ordinary transcriptome annotation unless receptor clonotypes or immune repertoire fields are central.	Hand off paired expression analysis to the single-cell or bulk specialist route.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/immune_repertoire_analyst_pro.md	raw_agents/public_cloud_agents/immune_repertoire_analyst_pro.json	Clonotype definition, receptor chain pairing, sample identity, and diversity metrics change the result semantics.
metabolomics_analyst_pro	Metabolomics Analyst Pro	pro	general_omics_analysis	general_omics_analysis	route_card	bulk-metabol-preprocessing, bulk-metabol-multivariate, bulk-metabol-pathway-multifactor, bulk-metabol-untargeted-lipidomics, micro-metabol-paired, gene-id-conversion, data-io-loading, figure-programmatic, single-cell-report-authoring, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到代谢组学 peak intensity 表（MetaboAnalyst CSV / LC-MS / NMR / lipidomics）/ 多 batch 队列 / 配对 microbe-metabolite 数据，要跑预处理 + 统计 + 通路 + 出报告	Not for microbiome-only, transcriptome-only, or proteomics-only analysis without paired metabolomics evidence.	Hand off paired microbiome-metabolomics to the matching multi-omics skill route if used.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/metabolomics_analyst_pro.md	raw_agents/public_cloud_agents/metabolomics_analyst_pro.json	Feature annotation confidence, imputation, normalization, transformation, and validation design affect every claim.
microbiome_analyst_pro	Microbiome Analyst Pro	pro	general_omics_analysis	general_omics_analysis	route_card	microbiome-16s-amplicon-dada2, microbiome-phylogeny, microbiome-da-comparison, microbiome-meta-analysis, micro-metabol-paired, data-io-loading, figure-programmatic, single-cell-report-authoring, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到 16S 测序 (raw FASTQ 或已有 ASV/OTU 表) / 多 cohort 16S / 配对 microbe-metabolite 数据，要跑多样性 + 差异丰度 + 通路 / 元分析 + 出报告。仅限 16S / ITS / 18S 扩增子;NOT-FOR:shotgun / 全基因组 宏基因组(Kraken2 / Bracken / MetaPhlAn / HUMAnN / MAG 组装·分箱)不在本 agent 范围,不要把这类任务路由到这里(目前平台无 shotgun 落点 —— 应向用户说明,而非接下只能 plan-不能-run)。	Not for host transcriptomics or metabolomics unless microbiome features are explicitly modeled.	Hand off paired host or metabolite analysis to the relevant omics integration route.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/microbiome_analyst_pro.md	raw_agents/public_cloud_agents/microbiome_analyst_pro.json	Compositionality, zero inflation, taxonomy database, ASV/OTU provenance, and batch effects must be explicit.
phylogenomics_analyst	Phylogenomics Analyst	plus	phylogenomics	phylogenomics_analysis	route_card	phykit-alignment-quality, phykit-tree-quality, phykit-gene-tree-discordance, phykit-trait-history, phykit-phylogenetic-signal, phykit-trait-ordination, phykit-phylogenetic-regression, phykit-trait-evolution-models, phykit-phylo-visualization	file_manager, python_interpreter, shell, notebook, omicverse_lookup, team, plan, think, task, skill, memory	用户提到 multiple sequence alignment / 系统发生树 / phylogeny / phylogenomics / gene tree / species tree / polytomy / rapid radiation / mirror tree / treeness / RCV / LB score / parsimony informative sites / 饱和度 / saturation / MSA 准确性 / sum-of-pairs / column score。或者用户上传了 `.fa` / `.fasta` / `.aln.fa` / `.tre` / `.treefile` / `.newick` 文件请求分析。	Not for generic gene-list enrichment, expression analysis, or structure modeling without phylogenomic inputs.	Hand off expression or pathway interpretation to bulk, single-cell, or enrichment route cards.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/phylogenomics_analyst.md	raw_agents/public_cloud_agents/phylogenomics_analyst.json	Orthology, alignment, tree model, genome build, and taxon sampling drive phylogenomic conclusions.
proteomics_analyst_pro	Proteomics Analyst Pro	pro	general_omics_analysis	general_omics_analysis	route_card	bulk-proteomics, multi-omics-integration, gsea-enrichment, gene-id-conversion, data-io-loading, data-cleaning, figure-programmatic, single-cell-report-authoring, report-html-generation, notebook-export, office-tools, retraction-check	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到蛋白丰度矩阵(MaxQuant proteinGroups / DIA-NN report / FragPipe combined_protein / Olink NPX / 通用 protein×sample 表),或肽段级 MSstats 长表,要做 QC、缺失值处理、差异表达、通路富集、出报告	Not for RNA expression analysis or metabolomics unless paired proteomics is part of the design.	Hand off paired transcriptome, metabolome, or EV-specific steps to the matching route card.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/proteomics_analyst_pro.md	raw_agents/public_cloud_agents/proteomics_analyst_pro.json	Quantification scale, missingness, normalization, peptide-to-protein rollup, and batch correction are route-defining.
reviewer	Reviewer	community	general_omics_analysis	review_gate	review_only	none	file_manager, python_interpreter, think	由 review 编排在一次分析回合结束后自动 spawn，传入指向本回合对话记录的指针，用一个没参与过本次推理的全新视角复核结论与产物。不作为根 agent 直接调用、也不承接新分析任务；正常分析请求请路由到对应的专家。	Not for direct user routing, new analysis execution, or method selection.	Return pass, warning, or fail findings to the responsible route owner before release.	project evidence files plus OmicVerse/SCOP and official docs already cited by the route	conditional	agent_route_cards/reviewer.md	raw_agents/public_cloud_agents/reviewer.json	Independent review reduces hallucination risk but does not replace reproducible commands or source verification.
single_cell_annotator_free	Single-cell Annotator Free	community	single_cell_analysis	single_cell_analysis	route_card	celltype-anno-ov-free, single-cell-clustering-backends, gene-id-conversion, office-tools, notebook-export	file_manager, python_interpreter, omicverse_lookup, plan, think, task, skill, memory	拿到已 cluster 的 .h5ad，要快速给每个 cluster 标 cell type，又不想付费 / 不需要 PMID 级证据	Not for final biological labels without marker-level and reference provenance checks.	Hand off poor QC or missing clustering to single_cell_preprocessor before annotation.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_annotator_free.md	raw_agents/public_cloud_agents/single_cell_annotator_free.json	Automated labels require reference provenance, marker sanity checks, confidence review, and ambiguity reporting.
single_cell_annotator_pro	Single-cell Annotator Pro	pro	single_cell_analysis	single_cell_analysis	route_card	celltype-annotation-pro, single-cell-preprocessing, gene-id-conversion, single-cell-composition, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, office-tools, notebook-export	file_manager, python_interpreter, omicverse_lookup, plan, think, task, skill, memory	拿到已聚类的 AnnData (`scmarker_preprocessor` 输出 / 任何带 `leiden`/`louvain` 的 .h5ad)，要给每个 cluster 标 cell type，并要可审计的文献证据	Not for final biological labels without marker-level and reference provenance checks.	Hand off poor QC or missing clustering to single_cell_preprocessor before annotation.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_annotator_pro.md	raw_agents/public_cloud_agents/single_cell_annotator_pro.json	Consensus or model labels can hide systematic bias; inspect disagreements and marker support.
single_cell_downstream_analyst_pro	Single-cell Downstream Analyst Pro	pro	single_cell_analysis	single_cell_analysis	route_card	single-cell-metabolism-inference, single-cell-composition, single-cell-genemodule, single-cell-pseudobulk, geneset-scoring, gsea-enrichment, gene-id-conversion, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	"已经有 QC 过 + 已注释的 scRNA-seq AnnData（cell-type 列填好），要做""注释完之后""的功能/差异分析；GRN/SCENIC 请走 single_cell_grn_analyst，基因/RegVelo 扰动请走 single_cell_perturbation_analyst，细胞通讯请走 cell_cell_communication_*，pseudotime 请走 single_cell_trajectory_*"	Not for raw matrix preprocessing or final annotation when those stages are incomplete.	Hand off raw or unannotated objects to preprocessing and annotation route cards first.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_downstream_analyst_pro.md	raw_agents/public_cloud_agents/single_cell_downstream_analyst_pro.json	Downstream menus must be split into one verified method per question, not run as an unreviewed bundle.
single_cell_epigenomics_analyst	Single-Cell Epigenomics Analyst	pro	single_cell_analysis	single_cell_analysis	route_card	scatac-preprocessing, scatac-chromvar, scatac-peak-to-gene, scatac-integration, tf-footprinting, gsea-enrichment, gene-id-conversion, data-io-loading, figure-programmatic, single-cell-publication-plots, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到单细胞 ATAC-seq 数据 —— fragments 文件、10x scATAC 输出、cell×peak 或 cell×tile 矩阵 —— 要做 QC、降维聚类、基因活性打分、簇级 call peak、chromVAR 转录因子活性、peak-to-gene 调控连接、多样本整合或从 scRNA 迁移细胞类型标签。不是 bulk ATAC/ChIP/CUT&RUN(→ bulk_epigenomics_analyst),不是单细胞 Hi-C(→ chromatin_3d_analyst),不是 scRNA 表达分析(→ single_cell 注释类 agent)。	Not for scRNA-only workflows or bulk epigenomics without single-cell epigenomic data.	Hand off paired scRNA integration to single_cell_preprocessor or single-multiomics skill routes as needed.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_epigenomics_analyst.md	raw_agents/public_cloud_agents/single_cell_epigenomics_analyst.json	Peak set, genome build, fragments, modality pairing, and accessibility normalization determine interpretability.
single_cell_grn_analyst	Single-cell GRN Analyst	pro	single_cell_analysis	single_cell_analysis	route_card	single-cell-grn-inference, gene-id-conversion, geneset-scoring, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, notebook-export	file_manager, python_interpreter, shell, omicverse_lookup, skill, team, plan, think, task	用于单细胞基因调控网络推断、TF-靶基因边表、GRNBoost2/GENIE3/RegDiffusion 先验、SCENIC regulon、AUCell/RSS，或为 RegVelo 准备先验 GRN；若要扰动基因或 TF regulon，用 single_cell_perturbation_analyst	Not for causal TF claims without motif/resource support and sensitivity checks.	Hand off preprocessing and annotation gaps before GRN inference.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_grn_analyst.md	raw_agents/public_cloud_agents/single_cell_grn_analyst.json	GRN outputs depend on species resources, motif database, expression scale, and regulator filtering.
single_cell_perturbation_analyst	Single-cell Perturbation Analyst	pro	single_cell_analysis	single_cell_analysis	route_card	single-cell-in-silico-perturbation, single-cell-regvelo-perturbation, single-cell-grn-inference, gene-id-conversion, geneset-scoring, gsea-enrichment, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, notebook-export	file_manager, python_interpreter, shell, omicverse_lookup, skill, team, plan, think, task, memory	用于单细胞 in-silico KO/KD/OE、scTenifoldKnk、CellOracle、RegVelo TF regulon 阻断、调控扰动、velocity 感知扰动或细胞命运效应分析；只做 GRN 推断用 single_cell_grn_analyst	Not for ordinary differential expression if perturbation design, guide assignment, or controls are absent.	Hand off non-perturbation scRNA tasks to preprocessing and downstream analysis routes.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_perturbation_analyst.md	raw_agents/public_cloud_agents/single_cell_perturbation_analyst.json	Guide calling, perturbation design, replicate structure, controls, and batch define valid perturbation inference.
single_cell_preprocessor	Single-cell Preprocessor	plus	single_cell_analysis	single_cell_analysis	route_card	single-cell-kb-alignment, single-cell-smartseq-quantification, data-io-loading, rds-qs-seurat-ingestion, gene-id-conversion, single-cell-preprocessing, single-cell-ambient-rna, single-cell-batch-integration, single-cell-clustering-backends, single-cell-composition, single-cell-pseudobulk, single-cell-genemodule, gsea-enrichment, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, notebook-export, office-tools	file_manager, python_interpreter, shell, omicverse_lookup, plan, think, task, skill, memory	拿到 raw / 已 QC 的 scRNA-seq AnnData，要清洗 + 标准化 + 聚类 + 取 marker，输出 ready-to-annotate 的 adata.h5ad。若手上只有原始 FASTQ 还没有矩阵：带 barcode+UMI 的液滴/微孔化学（10x、Drop-seq、inDrops、CEL-seq、SPLiT-seq 等）先走 single-cell-kb-alignment、plate-based Smart-seq2/3 先走 single-cell-smartseq-quantification 比对定量成矩阵，再回到本流水线	Not for bulk RNA-seq, spatial objects, final annotation claims, or downstream biology without specialist handoff.	Hand off ready-to-annotate objects to annotation, communication, trajectory, GRN, or downstream route cards.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_preprocessor.md	raw_agents/public_cloud_agents/single_cell_preprocessor.json	QC thresholds, normalization, HVG, PCA, integration, neighbors, and clustering must be planned before running.
single_cell_trajectory_free	Single-cell Trajectory Free	community	single_cell_analysis	single_cell_analysis	route_card	single-cell-trajectory-inference-free, single-cell-publication-plots, single-cell-report-authoring	file_manager, python_interpreter, shell, omicverse_lookup, skill, team, plan, think, task	用于已准备好的单细胞 AnnData 的免费版拟时序 / 分支分析，PAGA/DPT 或 Monocle 风格轨迹够用时走这里；需要 velocity、CellRank、Palantir、Slingshot、scTour、VIA/StaVIA 或多方法对比，用 single_cell_trajectory_pro	Not for unrelated clustering or final lineage claims without root, topology, and marker validation.	Hand off preprocessing and annotation prerequisites before trajectory inference.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_trajectory_free.md	raw_agents/public_cloud_agents/single_cell_trajectory_free.json	Trajectory results depend on root choice, topology, batch effects, cell cycle, and method assumptions.
single_cell_trajectory_pro	Single-cell Trajectory Pro	pro	single_cell_analysis	single_cell_analysis	route_card	single-cell-trajectory-inference, single-cell-publication-plots, single-cell-report-authoring, report-html-generation, notebook-export	file_manager, python_interpreter, shell, omicverse_lookup, skill, team, plan, think, task, memory	用于进阶轨迹推断：多方法对比、Slingshot/Palantir/scTour/VIA/StaVIA、RNA velocity、CellRank 命运、动态基因或完整轨迹报告；只用 PAGA/Monocle 的免费路径走 single_cell_trajectory_free	Not for unrelated clustering or final lineage claims without root, topology, and marker validation.	Hand off preprocessing, annotation, or velocity prerequisites before trajectory inference.	OmicVerse/SCOP function docs plus official package/tutorial docs	always	agent_route_cards/single_cell_trajectory_pro.md	raw_agents/public_cloud_agents/single_cell_trajectory_pro.json	Multi-method trajectory or fate models need root, topology, velocity/layer checks, and sensitivity review.
