skill_name	title	description	domain	route_role	object_route	primary_authority	requires_official_confirmation	route_card	risk_note	source_raw_skill
gsea-enrichment	GSEA and Pathway Enrichment Analysis	Gene set enrichment analysis with correct geneset format handling. Critical guidance for loading pathway databases and running enrichment in OmicVerse.	enrichment	route_card	ranked_gene_list_or_deg_table	OmicVerse/SCOP function docs and gene set database docs	always	route_cards/gsea-enrichment.md	Gene ID space, ranking statistic, and gene set source must be checked.	raw_skills/gsea-enrichment/SOURCE.md
micro-metabol-paired	Micro Metabol Paired	Paired microbiome × metabolomics integration on sample-aligned AnnDatas. Provides three methods - Spearman correlation (fast pairwise FDR), sklearn CCA (linear canonical mode shared between modalities), and MMvec (PyTorch low-rank co-occurrence model with conditional probabilities and biplot embeddings). Use when you have paired microbe-counts + metabolite-intensity tables on the same samples and want to find microbe-metabolite pairs that covary, or build a shared latent space.	microbiome_metabolomics_integration	route_card	paired_microbiome_and_metabolomics_anndata	OmicVerse function docs and selected integration method docs	always	route_cards/micro-metabol-paired.md	Sample pairing and modality-specific normalization must be verified before integration.	raw_skills/micro-metabol-paired/SOURCE.md
microbiome-16s-amplicon-dada2	Microbiome 16S Amplicon Dada2	16S rRNA amplicon analysis from raw FASTQs to a samples × ASVs AnnData with 7-rank SINTAX taxonomy, plus the canonical alpha / beta / ordination / DA stack. Use when running the vsearch-or-DADA2 amplicon pipeline (`ov.alignment.amplicon_16s_pipeline`), when ingesting an existing OTU/ASV count table with `build_amplicon_anndata`, or when computing Shannon / Bray-Curtis / PCoA / Wilcoxon-DA on the resulting AnnData.	microbiome_16s	route_card	amplicon_fastq_or_asv_table	OmicVerse function docs and DADA2 or vsearch official docs	always	route_cards/microbiome-16s-amplicon-dada2.md	Primer, denoising, taxonomy, and sample metadata choices define the result.	raw_skills/microbiome-16s-amplicon-dada2/SOURCE.md
microbiome-da-comparison	Microbiome Da Comparison	Run all three differential-abundance methods (Wilcoxon, pyDESeq2, ANCOM-BC) on the same microbiome AnnData, compare their hit sets via 3-way Venn / overlap counts, and decide which to trust on a given cohort. Use when the user wants to benchmark DA methods on a 16S study, when picking between methods on a small or zero-inflated cohort, or when reporting consensus features that survive multiple tests.	microbiome_differential_abundance	route_card	microbiome_anndata	OmicVerse function docs and DA method official docs	always	route_cards/microbiome-da-comparison.md	Zero inflation and compositionality can change which method is defensible.	raw_skills/microbiome-da-comparison/SOURCE.md
microbiome-meta-analysis	Microbiome Meta Analysis	Combine multiple per-study microbiome AnnDatas into a single cross-cohort table and run inverse-variance / random-effects meta-analysis on differential abundance. Use when you have 16S studies from multiple cohorts that need joint analysis, when you need a combined log2 fold-change with Cochran's I² heterogeneity, or when you want to find features whose effect replicates across cohorts (vs. cohort-specific signals).	microbiome_meta_analysis	route_card	multi_cohort_microbiome_results	OmicVerse function docs and meta-analysis method docs	always	route_cards/microbiome-meta-analysis.md	Cohort heterogeneity must be reported, not averaged away.	raw_skills/microbiome-meta-analysis/SOURCE.md
microbiome-phylogeny	Microbiome Phylogeny	Build an ASV-level phylogenetic tree (MAFFT alignment + FastTree GTR+Γ), attach it to a 16S AnnData, and run phylogenetically-aware diversity (Faith PD, weighted / unweighted UniFrac). Use when adding tree-aware metrics on top of the basic 16S amplicon AnnData, or when the cohort needs UniFrac-driven beta-diversity instead of Bray-Curtis.	microbiome_phylogeny	route_card	asv_sequences_or_asv_table	OmicVerse function docs and phylogeny tool docs	always	route_cards/microbiome-phylogeny.md	Tree-aware metrics require a valid ASV tree linked to the same features.	raw_skills/microbiome-phylogeny/SOURCE.md
plotting-visualization	OmicVerse visualization for bulk, color systems, and single-cell data	OmicVerse plotting: volcano, venn, boxplot, embedding, density, dotplot, convex hull, stacked bar, and Forbidden City color palettes.	omicverse_visualization	candidate_reminder	analysis_result_or_anndata	OmicVerse/SCOP plotting function docs	conditional	route_cards/plotting-visualization.md	Treat as a reminder to find native plotting docs, not as a standalone plotting authority.	raw_skills/plotting-visualization/SOURCE.md
reference-label-transfer	Reference Label Transfer	Transfer cell labels from a reference AnnData to a query AnnData with OmicVerse AnnotationRef. Use when converting OmicVerse reference-annotation notebooks into a reusable, triggerable skill, choosing a label-transfer backend such as harmony, scVI, or scanorama, or preparing paired query/reference single-cell data for weighted kNN annotation.	reference_label_transfer	route_card	reference_anndata_plus_query_anndata	OmicVerse function docs	always	route_cards/reference-label-transfer.md	Reference labels, shared features, and transfer backend must match the biological question.	raw_skills/reference-label-transfer/SOURCE.md
single-cell-annotation	Single Cell Annotation	Annotate single-cell AnnData with OmicVerse using the CellTypist, gpt4celltype, or SCSA branches. Use when turning OmicVerse annotation notebooks into a reusable, triggerable skill, selecting a backend, or mapping a clustered AnnData object to cell-type labels.	single_cell_annotation	route_card	annotated_or_clustered_anndata	OmicVerse/SCOP function docs and backend official docs	always	route_cards/single-cell-annotation.md	Automated labels need marker-level sanity checks before biological claims.	raw_skills/single-cell-annotation/SOURCE.md
single-cell-batch-integration	Single Cell Batch Integration	Run OmicVerse single-cell batch integration as a reusable, triggerable skill after preprocessing is already complete. Use when choosing a batch correction backend such as harmony, combat, scanorama, scVI, CellANOVA, or Concord on a preprocessed AnnData with batch labels, or when benchmarking integrated embeddings from one of those backends.	single_cell_integration	route_card	preprocessed_anndata_with_batch	OmicVerse/SCOP function docs and selected backend official docs	always	route_cards/single-cell-batch-integration.md	Integration can erase biology; require batch and condition separation check.	raw_skills/single-cell-batch-integration/SOURCE.md
single-cell-cellmatch-ontology	Single Cell Cellmatch Ontology	Map free-text cell-type annotations to the Cell Ontology (CL) via NLP-based sentence-transformer matching, with optional LLM-driven abbreviation expansion and Cell Taxonomy taxonomy enrichment. Use when standardising author-shorthand cell-type names to canonical CL terms (e.g. 'TIL-1' → 'tissue-resident memory CD8+ T cell, CL:0000625'), when running cross-cohort label harmonisation, or when reproducing `t_cellmatch`.	cell_ontology_mapping	route_card	cell_type_labels	OmicVerse function docs and Cell Ontology source docs	always	route_cards/single-cell-cellmatch-ontology.md	Ontology mapping standardizes labels; it does not validate the original annotation.	raw_skills/single-cell-cellmatch-ontology/SOURCE.md
single-cell-cellphonedb-communication	Single Cell Cellphonedb Communication	Analyze single-cell cell-cell communication with OmicVerse CellPhoneDB and CellChat-style visualization. Use when converting an OmicVerse CellPhoneDB notebook into a reusable skill, when running CellPhoneDB ligand-receptor analysis on annotated AnnData, or when choosing pathway aggregation, layout, signaling-role, and bubble-plot branches for downstream communication summaries.	cell_cell_communication	route_card	annotated_anndata	OmicVerse function docs and CellPhoneDB official docs	always	route_cards/single-cell-cellphonedb-communication.md	Communication results are inference from expression; require sender/receiver and visualization semantics.	raw_skills/single-cell-cellphonedb-communication/SOURCE.md
single-cell-cellrank-fate	Single Cell Cellrank Fate	CellRank fate maps from RNA velocity. Combine VelocityKernel + ConnectivityKernel into a transition matrix, fit a GPCCA estimator, predict terminal states, and produce per-cell fate probabilities. Visualise with `ov.pl.branch_streamplot` and feed branch-resolved gene-trends into `ov.single.dynamic_features` / `ov.pl.dynamic_trends` / `ov.pl.dynamic_heatmap`. Use after RNA velocity is computed (scvelo / dynamo / latentvelo / graphvelo) and before reporting fate probabilities or marker dynamics.	cell_fate	route_card	velocity_anndata	OmicVerse function docs and CellRank official docs	always	route_cards/single-cell-cellrank-fate.md	Requires valid velocity graph; fate probabilities are model outputs.	raw_skills/single-cell-cellrank-fate/SOURCE.md
single-cell-cellvote-consensus	Single Cell Cellvote Consensus	Multi-annotator consensus for single-cell labels via `ov.single.CellVote`. Combine labels from any subset of SCSA / gpt4celltype / GPTBioInsightor / scMulan / PopV per cluster; resolve disagreement either by LLM arbitration (online) or local-majority voting (offline). Output is `obs['CellVote_celltype']`. Use when you have multiple annotators on the same AnnData and need a single consensus label, or when reproducing `t_cellvote_pbmc3k`.	single_cell_annotation_consensus	route_card	multiple_annotation_results	OmicVerse function docs and annotator backend docs	always	route_cards/single-cell-cellvote-consensus.md	Consensus can hide systematic annotator bias; inspect disagreements.	raw_skills/single-cell-cellvote-consensus/SOURCE.md
single-cell-clustering-backends	Single Cell Clustering Backends	Run and compare OmicVerse single-cell clustering backends as a reusable, triggerable skill. Use when choosing between Leiden, Louvain, scICE, or GMM Gaussian mixture clustering on a prepared AnnData embedding, or when adapting a related OmicVerse clustering notebook into a repeatable workflow.	single_cell_clustering	route_card	prepared_anndata_embedding	OmicVerse/SCOP function docs	always	route_cards/single-cell-clustering-backends.md	Clustering resolution and embedding choice must be tied to the question.	raw_skills/single-cell-clustering-backends/SOURCE.md
single-cell-cnmf-program-discovery	Single Cell Cnmf Program Discovery	Run OmicVerse single-cell cNMF program discovery as a reusable, triggerable skill. Use when fitting consensus NMF gene programs on single-cell AnnData, choosing between CPU and GPU factorization, or converting normalized usage programs into hard cluster labels and RFC-based labels.	gene_program_discovery	route_card	normalized_single_cell_anndata	OmicVerse function docs and cNMF method docs	always	route_cards/single-cell-cnmf-program-discovery.md	Program number and stability must be checked before naming gene programs.	raw_skills/single-cell-cnmf-program-discovery/SOURCE.md
single-cell-cytotrace2	Single Cell Cytotrace2	Predict single-cell developmental potency with OmicVerse CytoTRACE2 on AnnData. Use when converting an OmicVerse CytoTRACE2 notebook into a reusable skill, when running the pretrained CytoTRACE2 potency workflow on mouse or human scRNA-seq data, or when choosing preprocessing mode, species, and parallelization settings for potency scoring and optional embedding overlays.	developmental_potency	route_card	single_cell_anndata	OmicVerse function docs and CytoTRACE2 official docs	always	route_cards/single-cell-cytotrace2.md	Potency score is a model estimate and species/preprocessing dependent.	raw_skills/single-cell-cytotrace2/SOURCE.md
single-cell-differential-abundance	Single Cell Differential Abundance	Run OmicVerse single-cell differential abundance or compositional analysis as a reusable, triggerable skill. Use when comparing cell-type abundance between conditions in AnnData, choosing between scCODA, milopy, and milo backends, or adapting a related notebook into a repeatable DCT workflow.	single_cell_differential_abundance	route_card	annotated_anndata_with_samples	OmicVerse/SCOP function docs and selected method official docs	always	route_cards/single-cell-differential-abundance.md	Use sample-level design; pooled cells are not biological replicates.	raw_skills/single-cell-differential-abundance/SOURCE.md
single-cell-differential-expression	Single Cell Differential Expression	Run OmicVerse single-cell differential expression analysis as a reusable, triggerable skill. Use when comparing conditions inside one or more cell types in AnnData, choosing between Wilcoxon, t-test, and memento backends, or adapting a related notebook into a repeatable DEG workflow.	single_cell_differential_expression	route_card	annotated_anndata_with_groups	OmicVerse/SCOP function docs and selected method official docs	always	route_cards/single-cell-differential-expression.md	Confirm contrast, cell type scope, covariates, and replicate strategy.	raw_skills/single-cell-differential-expression/SOURCE.md
single-cell-kb-alignment	Single Cell Kb Alignment	Build a triggerable kb reference and quantify single-cell FASTQs with OmicVerse alignment.single. Use when converting OmicVerse alignment notebooks into a reusable skill, when creating kallisto|bustools references with ref, or when running count on single-cell RNA-seq libraries.	single_cell_fastq_quantification	route_card	single_cell_fastq_reference	OmicVerse function docs and kallisto|bustools official docs	always	route_cards/single-cell-kb-alignment.md	Chemistry, reference, and barcode handling determine count matrix validity.	raw_skills/single-cell-kb-alignment/SOURCE.md
single-cell-lda-topic-clustering	Single Cell Lda Topic Clustering	Run OmicVerse single-cell LDA topic clustering with the MIRA backend as a reusable, triggerable skill. Use when fitting topic models on count-like AnnData, choosing between in-memory and on-disk execution, or converting topic assignments into hard cluster labels and RFC-based labels.	topic_model_clustering	route_card	count_like_anndata	OmicVerse function docs and MIRA official docs	always	route_cards/single-cell-lda-topic-clustering.md	Topic number and count scale must be checked before interpreting topics.	raw_skills/single-cell-lda-topic-clustering/SOURCE.md
single-cell-liana-communication	Single Cell Liana Communication	LIANA+ ligand-receptor inference on single-cell AnnData via `ov.single.run_liana`, plus the OmicVerse cell-cell communication (CCC) plotting stack with `ov.pl.ccc_heatmap` and `ov.single.to_comm_adata`. Use when computing ligand-receptor scores from a labeled AnnData (`bulk_labels` / `cell_type` / etc.), when post-processing LIANA results into a CommAnnData for pathway-aware visualisation, or when reproducing `t_ccc_liana`.	cell_cell_communication	route_card	annotated_anndata	OmicVerse function docs and LIANA official docs	always	route_cards/single-cell-liana-communication.md	LIANA score semantics and OmicVerse wrapper parameters must be read before plotting.	raw_skills/single-cell-liana-communication/SOURCE.md
single-cell-metatime-annotation	Single Cell Metatime Annotation	Tumor microenvironment (TME) cell-state annotation via the pretrained MetaTiME meta-components (Yi et al. 2023). Three-step workflow on a batch-corrected AnnData - over-cluster at high Leiden resolution, score against pretrained MeCs, write MetaTiME / Major_MetaTiME labels into obs. Use when annotating tumor scRNA-seq cohorts, when running MetaTiME on top of an scVI / Harmony-integrated embedding, or when reproducing `t_metatime`.	tumor_microenvironment_annotation	route_card	tumor_single_cell_anndata	OmicVerse function docs and MetaTiME source docs	always	route_cards/single-cell-metatime-annotation.md	Pretrained components are tumor-context specific; inspect marker support.	raw_skills/single-cell-metatime-annotation/SOURCE.md
single-cell-monocle2-trajectory	Single Cell Monocle2 Trajectory	Monocle2-style single-cell trajectory analysis on AnnData via the `ov.single.Monocle` class - DDRTree pseudotime + branch detection + per-gene differential test + BEAM branch-dependent gene discovery, plus the canonical pseudotime visualisations (`branch_streamplot`, `dynamic_heatmap`, `dynamic_trends`). Use when fitting a Monocle2 trajectory on an annotated AnnData, when deriving branch-aware gene trends with `dynamic_features`, or when reproducing `t_traj_monocle2_olsson`.	trajectory	route_card	annotated_anndata	OmicVerse function docs and Monocle official docs	always	route_cards/single-cell-monocle2-trajectory.md	Root state and branch definition must be biologically justified.	raw_skills/single-cell-monocle2-trajectory/SOURCE.md
single-cell-preprocessing	Single Cell Preprocessing	Convert OmicVerse single-cell preprocessing and marker-discovery notebooks into a reusable, triggerable skill. Use when cleaning AnnData, choosing a preprocessing mode, building PCA and neighborhood graphs, clustering with Leiden, or extracting marker genes with OmicVerse.	single_cell_preprocessing	route_card	raw_or_loaded_anndata	OmicVerse/SCOP function docs	always	route_cards/single-cell-preprocessing.md	QC thresholds, normalization, HVG, PCA, neighbors, and clustering must be planned before running.	raw_skills/single-cell-preprocessing/SOURCE.md
single-cell-rna-velocity	Single Cell Rna Velocity	Analyze single-cell AnnData for RNA velocity with OmicVerse. Use when converting OmicVerse velocity notebooks into a reusable, triggerable skill, when deciding whether a velocity notebook subset or branch should update an existing skill, or when selecting the scvelo, dynamo, latentvelo, graphvelo, recipe, backend, or mode branches for velocity preprocessing, dynamics, and embedding.	rna_velocity	route_card	spliced_unspliced_anndata	OmicVerse function docs and velocity backend official docs	always	route_cards/single-cell-rna-velocity.md	Velocity requires compatible layers and model assumptions; do not infer direction without checks.	raw_skills/single-cell-rna-velocity/SOURCE.md
single-cell-scenic	Single Cell Scenic	Convert OmicVerse SCENIC notebooks into a reusable, triggerable skill for single-cell AnnData regulon analysis. Use when initializing SCENIC with cisTarget resources, choosing the RegDiffusion, GRNBoost2, or GENIE3 GRN branch, tuning regulon-construction thresholds, or running downstream RSS, binarization, and regulon-focused GRN exploration.	gene_regulatory_network	route_card	single_cell_anndata_plus_motif_resources	OmicVerse function docs and SCENIC resource docs	always	route_cards/single-cell-scenic.md	Resource species, motif database, and GRN backend determine regulon credibility.	raw_skills/single-cell-scenic/SOURCE.md
single-cell-sctour-trajectory	Single Cell Sctour Trajectory	Run the OmicVerse sctour trajectory branch on raw-count single-cell AnnData. Use when adapting the scTour part of an OmicVerse trajectory notebook, or when you need sctour pseudotime, latent space, or vector-field outputs instead of the diffusion_map, slingshot, or palantir branches.	trajectory	route_card	raw_count_anndata	OmicVerse function docs and scTour official docs	always	route_cards/single-cell-sctour-trajectory.md	Use only when scTour assumptions match raw-count input and trajectory question.	raw_skills/single-cell-sctour-trajectory/SOURCE.md
single-cell-trajectory-inference	Single Cell Trajectory Inference	Run or adapt OmicVerse single-cell trajectory inference on cluster-ready AnnData. Use when converting OmicVerse trajectory notebooks into a reusable skill, or when choosing the diffusion_map, slingshot, palantir, PAGA, or Palantir branch-selection branches for developmental ordering and lineage summaries.	trajectory	route_card	cluster_ready_anndata	OmicVerse/SCOP function docs and selected method official docs	always	route_cards/single-cell-trajectory-inference.md	Branch method choice must match topology and biological starting point.	raw_skills/single-cell-trajectory-inference/SOURCE.md
